company_id,company_name
273285,"east machinery co., ltd."
98034,advanced power and energy company limited
239307,island pools company limited
321992,ps business consultant company limited
290794,"csr communication co.,ltd."
692370,"premier home co., ltd."
223315,i.k.s. commercial company limited
507421,royal jomtien beach company limited
417851,"sunday home co., ltd."
677246,"work group construction c., ltd."
511215,brand road company limited
915395,bangkok painting company limited
673361,rebatemango company limited
576455,bombay magic suites company limited
328523,"dusit commercial co.,ltd."
73995,"dance synergy co.,ltd."
289576,kraft company limited
345618,"psi asia co.,ltd."
119237,"a b s s co.,ltd."
49363,"callington (thailand) co.,ltd."
325050,"infinity media co.,ltd."
370189,f. e. development (thailand) ltd.
426128,"klang & co.,ltd."
1058977,"smart search & services co.,ltd."
777602,"pte service co., ltd."
217590,one k. company limited
100183,adventure thai company limited
367480,"center trading co., ltd."
601834,"poly print pack co.,ltd."
547884,"ems engineering co., ltd."
734423,bangkok produce company limited
61359,"science service ltd., part."
427797,m technologies (thailand) company limited
84409,ticket to the moon company limited
532629,"phuket business group co., ltd."
1051272,sirichai broker company limited
693352,"north communication (thailand) co.,ltd."
532636,wide body company limited
700034,pandora services company limited
1059356,"smart technology co., ltd."
565040,wangnoi engineering company limited
420338,overland grand company limited
573119,viola company limited
1081452,solid unity company limited
508559,"engineering standard co., ltd."
65180,"concrete line co., ltd."
579563,drago 2009 company limited
446500,"queen's hotel co., ltd."
44247,"how co., ltd."
1045999,studio mano company limited
120618,"its technology co.,ltd."
531594,phuket charm company limited
98484,advance life company limited
282092,"nitigura (thailand) co.,ltd."
73689,gangster group company limited
276865,lock build company limited
60257,experience company limited
455179,best retail company limited
1046076,"studio architects co.,ltd."
92718,glow power technology company limited
324325,"inflight service co.,ltd."
502545,"vta power network co., ltd."
454646,"queen andaman co.,ltd."
1021404,"astoria co., ltd."
1058926,smart bomb company limited
459669,"music style co.,ltd."
730183,water line system company limited
369149,iq smart company limited
118186,kaiser biz company limited
587801,"rs components co.,ltd."
232223,greenlight samui company limited
292968,global standard (thailand) company limited
805241,k build & design company limited
182487,general power quality company limited
338891,i. q. knitter company limited
231776,candlelight group company limited
270138,j d i company limited
73264,news (thailand) company limited
676170,"yoshida co.,ltd."
500700,"direct construction co., ltd."
99391,"advance tech industry co.,ltd."
349827,cell therapy company limited
961116,chayakit company limited
448083,"best tech and engineering co., ltd."
331690,baker tilly management services (thailand) company limited
210568,"d.c.p. group co., ltd."
298016,love sun company limited
309469,eda international company limited
534414,laguna restaurants company limited
713517,world of food (thailand) company limited
383791,andaman enterprises international company limited
1013559,asia valley limited partnership
449917,"f. s. l. <thailand> co., ltd."
151632,"propaganda co., ltd."
202191,go dung company limited
329389,"info intelligence co., ltd."
404423,robin ruth company limited
519060,"new auto part co.,ltd."
737018,bangkok engineering co.
292472,global wireless international company limited
184127,progress plus company limited
1074502,"s.v. (thailand) co., ltd."
497118,"prasit group co., ltd."
675654,trading solution company limited
46492,"inside music co.,ltd."
215890,life wellness center company limited
282817,hexa thailand company limited
489106,sunix company limited
359194,retail application system company limited
504230,murray(thailand) company limited
744224,"verana press co., ltd."
193565,general service limited partnership
69844,"corporate consultants (thailand) co., ltd."
761298,marlik import & export trading company limited
547067,360 quality management company limited
526799,v.winplus company limited
372991,"open advertising co.,ltd."
340606,oizuru (thailand) company limited
184693,"huahin consultant co.,ltd."
361490,"jamal 47 co.,ltd."
422387,"focus suites co., ltd."
250014,"gift best co., ltd."
44746,base camp company limited
322153,for mom company limited
188008,"group enterprise co., ltd."
234087,dynamic company limited
729946,print center company limited
358247,kangwanthanawat company limited
470013,sun img company limited
331020,a m b group company limited
354299,red planet hotels (thailand) company limited
529775,faces company limited
311643,jay mart public company limited
554013,"p.k. factory co., ltd."
323532,"inflow line products co., ltd."
194425,professional systems limited
713599,watergate hotel company limited
737750,"business development co., ltd."
198874,"gunkul co., ltd."
587056,fashion boutique company limited
175447,"c u e co.,ltd."
